編號,成立核准文號,成立核准日期,管理委員會,建築物地址,棟數,地上層數,地下層數,使用執照
616,'0930034888,093/04/29,財富與生活大樓,東區東門路一段145號B1,1,15,2,(082)南工使字第02321號
617,'0930084493,093/05/12,永康新都第二期,永康區國華街138巷3弄7號,28,4,,(092)南工使字第01012號
618,'0930084496,093/05/12,永康新都第三期,永康區忠孝路410巷21號,34,5,,(092)南工使字第01214號共7筆使照
619,'0930043630,093/05/21,全臺首學公寓大廈,中西區府前路一段203號,1,12,2,
620,'0930043678,093/06/01,白色風尚社區,北區大興街565巷21弄10號,25,5,0,(091)南工使字第01295號
621,'0930042688,093/06/03,書香家園,東區裕忠一街110號,48,5,0,(092)南工使字第00707號
622,'0930046924,093/06/04,百輝公寓大樓,東區裕農路51號,1,7,1,(091)南工使字第01056號
623,'0930100850,093/06/09,城光公園E棟社區,仁德區仁德里文宏二街110號,12,4,,(091)南工使字第00718號
624,'2158,093/06/30,伍彩法拉斯社區A區公寓大廈,安南區海佃路二段150巷86-3號,1,7,1,(093)南工使字第02158號
625,'01426,093/07/05,臺邦天下住戶,北區育德路423巷13號,0,5,0,(093)南工使字第01147號
626,'0930054795,093/07/05,湖美廬園設區,中西區西賢一街26巷2號,4,2,2,(092)南工使字第00414號
627,'0930130962,093/07/14,太子南科社區,善化區坐駕里信義路71巷29號,2,4,,(092)南工使字第00971號
628,'0930058664,093/07/16,欣家社區,北區育成路187號,11,4,0,(093)南工使字第00464號
629,'0930131092,093/07/20,城光公園一期社區,仁德區仁德里文山路235號,26,5,,(091)南工使字第00723號
630,'0930061611,093/07/22,青田綠邑第二期公寓大廈,東區裕孝路22號,5,5,0,(093)南工使字第00332號
631,'0930134590,093/07/26,松園大樓,永康區中山北路70號8樓之1,1,8,1,(084)南工使字第03984號
632,'0930062556,093/07/28,涵碧園住戶,東區裕信路280-7號,2,5,0,(092)南工使字第01559號
633,'0930062055,093/07/28,陶淵明社區,中西區中華西路二段550巷30弄30號,8,5,0,(092)南工使字第01498號
634,'0930063701,093/07/29,體育公園二期,南區大林路133號.135巷3弄2號,2,4,0,(092)南工使字第00075號
635,'0930064332,093/08/03,松久新廈,北區公園北路157號7樓,1,12,2,(084)南工使字第01683號
636,'0930148556,093/08/09,玉井文化大廈,玉井區玉田里仁愛街180巷6號6樓之2,1,6,,(085)南工使字第01631號
637,'0930064796,093/08/12,活佛素食社區,中西區西賢一街212巷3號,1,1,0,(093)南工使字第00462號
638,'0930068467,093/08/12,自在社區,南區仁南四街47.55號,8,4,0,(092)南工使字第01264號
639,'0930068468,093/08/13,欣悅設區,南區仁南四街27號,8,4,0,(092)南工使字第01263號
640,'0930068084,093/08/18,歡喜社區,南區仁南四街11號,8,4,0,(092)南工使字第01262號
641,'0930074695,093/09/01,百慶經典二社區,北區中華西路二段550巷30弄17號2樓,8,4,0,(091)南工使字第00843號
642,'0930074171,093/09/01,庭豪大廈,南區健康路二段499號,1,7,1,(082)南工使字第00350號
643,'0930165652,093/09/01,東門家園一期社區,仁德區文孝路73號,37,5,,(092)南工使字第01041號
644,'0930165654,093/09/02,城光公園H棟社區,仁德區文宏二街72號,12,4,,(091)南工使字第00719號
645,'0930165012,093/09/02,薪成家社區,歸仁區和順路1段11巷20號,3,4,,(093)南工使字第00588號
646,'0930079060,093/09/16,大隆凱悅第1期A區,中西區中華西路二段646巷20弄2號,2,4,0,(092)南工使字第00538號
647,'0930176519,093/09/16,家專新都,永康區鹽忠街152號,21,4,,(093)南工使字第00189號
648,'0930180619,093/09/22,白雪公主大廈,永康區成功路182號,1,7,1,(082)南工使字第03898號
649,'0930082647,093/09/24,中山大臣大樓,中西區中山路88號10樓6,1,15,5,(084)南工使字第01834號
650,'0930083797,093/10/01,民族王朝公寓大廈,中西區民族路二段66號4樓-3,1,13,3,(082)南工使字第03213號
651,'0930087845,093/10/02,府都通商大樓,安平區永華三街333號,12,1,0,(081)南工使字第00197號
652,'0930189237,093/10/06,桂東堂社區,永康區西灣里國光八街81號5樓之2,3,4,,(093)南工使字第01055號
653,'0930196165,093/10/12,善化名人世家,善化區小新營368之1號,12,5,,(092)南工使字第00284號
654,'0930093979,093/11/04,江南書香苑,東區中華東路二段226巷27弄60號,2,4,0,(077)南工使字第00978-38號
655,'0930213162,093/11/04,永康臻品一期公寓大廈,永康區八德街199巷20號,2,4,,(093)南工使字第00400號
656,'02180,093/11/12,金城社區,中西區永華路一段348號,1,5,0,(093)南工使字第02004號
657,'0930220017,093/11/12,久誠永康第一期社區,永康區大灣路37巷20弄22號,10,4,,(093)南工使字第00633號共2筆使照
658,'0930097185,093/11/15,宗信社區,東區長榮路一段176號,1,3,0,(093)南工使字第01453號
659,'0930225057,093/12/01,崑山學園三期社區,永康區復興路33巷46號,43,5,,(083)南工使字第01263號
660,'0930233530,093/12/01,庭香公園CD社區住戶,永康區勝利里勝學路260巷3弄9號,2,4,,(093)南工使字第00164號
661,'0930103239,093/12/13,成功大廈,北區公園路128號5樓-24,1,8,0,(070)南工使字第00695-02號
662,'0930244135,093/12/15,皆大歡喜社區,佳里區建南里17鄰建南街79巷1號,3,4,,(093)南工使字第01125號
663,'0930243317,093/12/21,新東區透天社區,仁德區長興五街25之1號,2,4,,(093)南工使字第01219號
664,'0930241412,093/12/23,陽光社區,仁德區德善路303之7號,8,4,,(093)南工使字第01634號
665,'0933036364,093/12/27,台南花與綠乙區社區,東區裕敬二街111號,1,5,0,(087)南工使字第01448號
666,'0930110791,093/12/29,湖美雅築社區,中西區頂美三街121巷71弄6號,57,5,0,(093)南工使字第00059號
667,'0940003767,094/01/07,靚巷城光社區,仁德區文山路279號,2,5,,(093)南工使字第00906號
668,'0940016124,094/01/24,民治臻品,新營區民治路300巷16號之3,14,4,,(093)南工使字第01638號共2筆使照
669,'0940007143,094/01/28,富都財星大樓,中西區民族路二段305號,1,12,1,(080)南工使字第01100-13號
670,'0940025302,094/01/31,隋唐醇品社區,新營區明清二街11號,6,3,,(092)南工使字第01269號共2筆使照
671,'0940009705,094/02/03,湖美善臻品社區,中西區西湖街59巷20.26號,20,4,0,(093)南工使字第00822號
672,'0940007619,094/02/03,大稻埕公寓大廈,東區東平路60號7樓,1,12,2,(093)南工使字第00826號
673,'0940009718,094/02/05,陽光,東區崇善九街1號,8,4,0,(093)南工使字第00182號
674,'0940104573,094/02/08,御墅臨風社區,北區育德路599巷23號,4,3,0,(094)南工使字第01040號
675,'0940042376,094/03/07,綠邑101社區,永康區勝利街42巷8號,5,3,,(093)南工使字第01808號
676,'0940018705,094/03/11,贏家富裔三期,北區文賢一路300巷15號,2,4,0,(091)南工使字第01070號
677,'0940018217,094/03/14,東門大道社區,東區自由二路125巷26弄22號,12,4,0,(093)南工使字第00386號
678,'0940020291,094/03/15,觀雲軒社區,東區裕孝路170號,8,5,0,(093)南工使字第00652號
679,'0940020587,094/03/15,老常住社區,東區崇善路913巷29號,10,4,0,(093)南工使字第00905號
680,'0940054862,094/03/16,帝皇城家園II期,仁德區德南路137巷68之11號,52,4,,(093)南工使字第01049號共2筆使照
681,'0940022680,094/03/22,天韻二期社區,北區育德一街208巷22號,40,5,0,(093)南工使字第00651號
682,'0940060553,094/03/23,哈佛,新化區中正路580巷2號之19,2,4,,(093)南工使字第00860號
683,'0940061784,094/03/24,華貴二期公寓,永康區南興路112巷82弄1之16號5F,1,5,,(081)南工使字第01370號
684,'0940072797,094/04/06,東門家園二期社區,仁德區文山路109號,18,4,,(093)南工使字第01590號
685,'0940073592,094/04/08,天下人社區,仁德區中清一街21號,11,5,,(093)南工使字第00987號
686,'0940026826,094/04/11,植村秀二期住戶,北區育德路542巷1號,2,5,0,(093)南工使字第00587號
687,'0940028534,094/04/12,上堡住戶,東區裕信路7號,12,5,0,(091)南工使字第00643號
688,'0940077217,094/04/12,富堂京王府社區,永康區富強路一段145號,6,5,,(093)南工使字第01699號
689,'0940028825,094/04/15,東坡愛社區,東區裕興街108號,5,5,0,(093)南工使字第01843號
690,'0940080695,094/04/18,紅蘋果社區,善化區光華路150巷7號,24,2,,(093)南工局使字第00595號
691,'0940080696,094/04/18,大久京都社區,善化區光華路35巷45弄1號,10,4,,(090)南工使字第00669號
692,'0943102781,094/04/19,現代摩登五期公寓大廈,安平區平豐路44巷22號,1,6,0,(082)南工使字第01687號
693,'0940082627,094/04/19,和風春墅一期C區社區,佳里區四維二街222巷6號,1,4,,(092)南工使字第00617號
694,'0940086344,094/04/22,得意生活家NO2,永康區文化路242巷26之13號,1,6,,(082)南工使字第04754號
695,'0940086592,094/04/22,仁德清境,仁德區德善路251巷7弄17號,1,4,,(093)南工使字第01990號
696,'0940032070,094/04/25,力漢.郡安一期社區,安南區郡安路四段102號,4,4,0,(093)南工使字第01429號
697,'0940034265,094/04/28,合家歡六期社區,東區裕忠三街18之3號,22,5,0,(093)南工使字第01895號
698,'0940034275,094/05/02,大未來社區,北區文賢二街462巷2號,3,4,0,(093)南工使字第01560號
699,'0940034595,094/05/02,大觀社區,東區裕忠三街16號,8,4,0,(093)南工使字第02033號
700,'0940036674,094/05/09,文元花鄉社區,北區文賢一路300巷22號,2,5,0,(091)南工使字第00998號
701,'0940036673,094/05/09,典雅名園社區,北區立賢路二段70-9號,60,5,0,(093)南工使字第01272號
702,'0940039387,094/05/12,皇龍學府名邸,東區裕農三街190號,28,4,0,(093)南工使字第00448號
703,'0940103506,094/05/16,永康臻品二期,永康區八德街196巷5號,10,4,,(093)南工使字第02093號共4筆使照
704,'0940039344,094/05/17,戀家.力漢五期社區,安南區北安路三段145巷16號,13,4,0,(093)南工使字第00517號
705,'0940108697,094/05/23,田園調布社區,永康區永安一街107號,2,4,,(093)南工使字第00323號
706,'0940111111,094/05/24,同利企業有限公司,永康區鹽洲里洲工街51號,2,4,,(094)南工使字第00713號
707,'0940111141,094/05/24,靜鄉公寓大廈,永康區中華路216巷3-3號7樓,1,7,1,(082)南工使字第02208號
708,'0940040827,094/05/25,八德大廈,南區新都路520巷17號4樓,8,7,1,(072)南工使字第00757-82號共8筆使照
709,'0940044290,094/06/07,心賞社區,東區裕平路183號,5,20,0,(093)南工使字第01306號
710,'0940045075,094/06/08,創世紀第八期,北區中華北路二段62巷1至30號,24,4,0,(093)南工使字第01448號
711,'0940138448,094/06/29,文化歐洲社區,歸仁區大成路182巷1號,3,4,,(093)南工使字第01493號
712,'0940057017,094/07/13,至盛名門社區,北區海安路三段316號,18,5,0,(093)南工使字第01459號
713,'0940056255,094/07/13,觀自在社區,東區東安路291號,1,4,0,(094)南工使字第01147號
714,'0940056772,094/07/13,裕昌屋公寓大廈,北區開元路212巷92號,2,5,0,(094)南工使字第00218號
715,'0940158639,094/07/22,崑山學園一期社區,永康區復路興路1巷1弄15號,83,5,,(092)南工使字第01149號
716,'0940158653,094/07/22,神仙家庭,仁德區北保一街97號1F,1,7,1,(083)南工使字第03558號
717,'0940059242,094/07/25,安平國小DC社區,安平區平通路333巷89-8號,8,4,0,(093)南工使字第01776號
718,'0940059900,094/07/27,曠世之度,安南區長溪路一段277巷40弄1號,4,22,0,(093)南工使字第01375號
719,'0940162062,094/07/28,荷蘭澄園二期社區,仁德區中山路875巷59弄6號,34,4,,(093)南工使字第01158號
720,'0940163253,094/07/29,愛鄉大樓,佳里區建南里安南路191號3樓之2,1,7,,(085)南工使字第00639號
721,'0940061578,094/08/01,伯爵大地住戶,安南區安中路一段705巷3弄1號等,1,4,1,(080)南工使字第01077-92號
722,'9400616290,094/08/01,上景一社區管理委員會,北區臨安路二段286號,9,5,0,(092)南工使字第00931號
723,'0940162704,094/08/02,璞墅,永康區南台街54巷8之8號,20,5,,(086)南工使字第00252號
724,'0940065211,094/08/10,大港中庭社區,北區大港街15巷21弄1至16號,12,4,0,(093)南工使字第01034號
725,'0940063735,094/08/10,生活奇蹟第三期社區,安南區安中路一段401號,40,4,0,(093)南工使字第01584號
726,'0940175603,094/08/12,麻豆青田社區,麻豆區和平路15之1號,3,4,,(093)南工使字第01036號
727,'0940069566,094/08/23,現代巴洛克社區,北區東豐路501號,2,4,0,(093)南工使字第02134號
728,'0940070945,094/08/30,紳堡B區住宅,東區裕文一街20-28號,11,5,0,(093)南工使字第01904號
729,'0940188557,094/08/30,巴里島社區,永康區三民街18巷1弄9號,40,4,,(093)南工使字第01644號
730,'0943025075,094/08/31,太子世紀莊園A棟社區,北區育德路199巷53號,20,4,0,(092)南工使字第01862號
731,'0940072001,094/08/31,皇龍家園III,東區裕忠路187號,32,5,0,(092)南工使字第01558號
732,'0940191213,094/09/02,又見春天社區,善化區進學路99巷25號,3,4,,(094)南工使字第00113號共3筆使照
733,'0940074427,094/09/08,文元世紀社區,北區中華北路二段52巷40弄1號,10,4,0,(094)南工使字第00665號
734,'0940073200,094/09/08,石阜春泉一期,東區裕信路276號,2,5,0,(093)南工使字第01845號
735,'0940073199,094/09/08,石阜春泉二期,東區裕平路292之5號,4,5,0,(093)南工使字第02078號
736,'0940074250,094/09/09,復興名園二期公寓大廈,東區裕平路247號,42,5,0,(093)南工使字第00588號
737,'0940076085,094/09/12,全家樂社區,北區和緯路四段253號,1,2,0,(094)南工使字第01368號
738,'0940077270,094/09/15,力漢天富,北區和緯路二段482號,24,5,0,(093)南工使字第01602號
739,'0940076899,094/09/15,南師大樓,中西區五妃街97號,1,4,0,(093)南工使字第02003號
740,'0940076273,094/09/19,寒舍圓頂,東區崇學路19號8樓之1,1,9,2,(085)南工使字第00426號
741,'0940213819,094/09/29,崑山學園K棟社區,永康區建國里復興路1巷3弄1號,22,4,,(092)南工使字第01701號
742,'0940082665,094/10/05,大自在社區,北區育成路216號,14,4,0,(093)南工使字第02400號
743,'0943107670,094/10/05,陽光盧森堡社區,安平區建平九街22巷29弄9號,3,5,0,(084)南工使字第01023號
744,'0940086700,094/10/17,成大哈佛特區,東區長榮路三段66巷47弄6號,1,5,0,(094)南工使字第01088號
745,'0940227391,094/10/17,東門家園三期社區,仁德區仁德里裕華三街272號,36,4,,(093)南工使字第01961號
746,'0940088036,094/10/19,太子世紀花園A棟社區,北區和緯路二段267號,15,4,0,(092)南工使字第01734號
747,'0940087230,094/10/21,時代公寓大廈,南區中華南路二段302巷6弄1號,1,7,0,(072)南工使字第00772-93號
748,'0940088784,094/10/21,金天元福岡三期社區,北區臨安路二段129號2樓,2,4,0,(093)南工使字第01988號
749,'0943108235,094/10/25,敦煌萬寶錄社區,安平區民權路四段391巷1弄18號,16,4,0,(093)南工使字第01908號
750,'0943108233,094/10/26,晨愛邑社區,安平區華平路21巷18弄38號,8,4,0,(094)南工使字第00373號
751,'0943030849,094/11/01,慶東大樓公寓大廈,東區慶東街87巷3號-1,1,5,1,(084)南工使字第00980號
752,'0940242918,094/11/02,忠財天廈第二期,佳里區建南里新生路441巷19號,1,13,1,(085)南工使字第02490號
753,'0940242917,094/11/02,粉彩四季Ⅱ社區,仁德區德善路251巷1之11號,2,4,,(092)南工使字第00737號
754,'0940009218,094/11/03,蘭廷御苑社區,北區海安路三段181巷5至45號,1,4,0,(079)南工使字第01053-04號
755,'0940245006,094/11/07,馥桂城光社區,仁德區文山路152號,16,4,,(094)南工使字第00136號
756,'0940093624,094/11/09,東寧學府大樓,東區東寧路342號4樓-4,1,7,0,(082)南工使字第03742號
757,'0940096371,094/11/10,合家歡七期社區,北區育賢街27巷1號,16,4,0,(094)南工使字第01074號
758,'0943108803,094/11/10,馨居社區,中西區光賢街45巷48號,8,4,0,(093)南工使字第01358號
759,'0940248515,094/11/10,學府名門,西港區慶安里進學街119號,1,8,1,(083)南工使字第05608號
760,'0940253064,094/11/16,永康大道,永康區復國一路586巷5弄9號,15,4,,(093)南工使字第01068號
761,'0940099217,094/11/22,大鵬新城國宅社區甲乙區,東區光明街102巷7號,2,12,1,(088)南工使字第01062號共2筆使照
762,'0940098842,094/11/22,力漢.戀家第一期社區,東區長榮路二段157號5樓,12,4,0,(092)南工使字第01251號
763,'0940100913,094/11/25,文元時尚社區,北區育德三街230巷1號,12,5,0,(094)南工使字第00719號
764,'0940098564,094/11/25,楊家兄弟公寓大廈,中西區湖美二街92巷7號,1,4,0,(094)南工使字第00006號
765,'0940099997,094/11/28,宏美社區,東區裕孝三街102號,8,4,0,(093)南工使字第00670號
766,'0940101418,094/11/29,陳貞吟,東區崇學路50號,1,5,0,(094)南工使字第00668號
767,'0940264287,094/11/30,永龍凡人居社區,永康區中山北路164巷138弄1號,12,5,,(093)南工使字第01908號
768,'0943034966,094/12/06,瑋倫公寓大廈,中西區府前路二段58號,1,3,0,(094)南工使字第00221號
769,'0940103777,094/12/07,極上日光社區,北區海安路三段500巷91弄1號,5,8,0,(094)南工使字第00992號
770,'0940104154,094/12/08,協和社區,中西區府前路二段258巷61號,1,4,0,(093)南工使字第01844號
771,'0940104937,094/12/09,育德傑作社區,北區育德路486巷2號,1,5,0,(093)南工使字第01483號
772,'0940104008,094/12/12,上原公寓管理負責人,安平區怡平路39-1號,1,2,0,(094)南工使字第01831號
773,'0940271920,094/12/12,久誠永康第二期社區,永康區埔園街147巷6弄26號,2,4,,(094)南工使字第00024號
774,'0940105117,094/12/13,關雲軒第二期,東區裕孝路146號,10,5,0,(094)南工使字第00995號
775,'0943202820,094/12/15,力漢.綠光一期社區,北區西門路四段16巷31弄86號,20,4,0,(094)南工使字第02524號
776,'0940106990,094/12/15,大國麗舍公寓大廈,中西區民族路二段173巷6號,1,5,1,(082)南工使字第04016號
777,'0940280169,094/12/20,大橋愛社區,永康區大橋一街73巷95弄2號,10,4,,(094)南工使字第00190號
778,'0940108116,094/12/21,上禾居社區,安南區安通路四段47巷9弄1號,16,4,0,(094)南工使字第00922號
779,'0943110030,094/12/22,伯爵大廈,安平區安平路312號,1,7,0,(071)南工使字第00727-36號
780,'0940109436,094/12/23,好瀚俠隱B棟,北區文賢一路182巷20弄1號,8,5,0,(094)南工使字第00285號
781,'0940109315,094/12/23,好瀚俠隱D棟,北區文賢一路182巷12弄1號,8,5,0,(094)南工使字第00286號
782,'0940284420,094/12/26,領袖家園,善化區民生路33巷18號,3,4,,(092)南工使字第00028號
783,'0940284570,094/12/27,十月金風社區,善化區自立路111巷1號,5,4,,(092)南工使字第00731號共2筆使照
784,'0940112172,095/01/02,慶暉大樓社區,北區文元三街1116號,1,5,0,(094)南工使字第02290號
785,'0950000493,095/01/06,綠邑晶采社區,北區文賢一路23巷15號,16,5,0,(094)南工使字第00598號
786,'0950001542,095/01/06,台南市自立建設管理委員會,安平區慶平路88號3樓-1,1,12,1,(084)南工使字第00287號
787,'0950004890,095/01/10,原生館社區,北區文成一路158巷1號,5,4,0,(093)南工使字第01351號
788,'0950000304,095/01/11,陳仰君,東區崇德路642-1號,1,2,0,(093)南工使字第00620號
789,'0950002733,095/01/18,大麥田III期社區,安南區怡安路一段262號33弄3號,18,4,0,(094)南工使字第00227號
790,'0953001918,095/01/20,宗大頂美靜巷,中西區頂美二街76巷1號,37,4,0,(094)南工使字第00196號
791,'0953100550,095/01/20,大韻河社區,安平區安平路500巷45號,6,4,0,(093)南工使字第02115號
792,'0953100840,095/01/27,紳堡A區住宅,東區裕平路328-336號,11,5,0,(093)南工使字第01873號
793,'0950008920,095/01/27,翰林傳家堡社區,安南區公學路四段352號,1,4,0,(094)南工使字第01360號
794,'0950011720,095/02/15,敦煌仰哲社區,東區崇善十五街42巷36號,13,4,0,(094)南工使字第01122號
795,'0950033802,095/02/16,桂田酒店公寓大廈,新市區大社里大社875之1號,1,12,2,(094)南工使字第02486號
796,'0953104140,095/02/27,菁英學苑公寓大廈,安南區海佃路四段55巷48弄90號,1,5,0,(093)南工使字第02153號
797,'0950058711,095/03/21,晶鄉村社區,善化區溪尾211之3號,26,4,0,(094)南縣使字第00009號共2筆使照
798,'0950058716,095/03/21,加美雙重奏社區,永康區自強路750巷18弄28號,8,5,,(094)南工使字第01939號
799,'0950022545,095/03/24,曾施秀霞,東區崇善路233號,1,4,0,(094)南工使字第01786號
800,'0950023742,095/03/24,湖美名園5社區,中西區頂美三街241巷42號,90,5,0,(093)南工使字第01772號
801,'0953102156,095/03/28,豐林敦品,安南區育安二街9巷2號,12,4,0,(094)南工使字第00768號
802,'0950025811,095/03/31,寓莊囍園,安南區國安街156巷185弄10號,41,3,0,(094)南工使字第01292號
803,'0950067452,095/03/31,悅光琉璃社區,新營區民族路268巷11號,20,3,,(094)南工使字第01445號共2筆使照
804,'0950070440,095/04/03,大學城社區,永康區新民街77巷8弄15號,31,4,,(094)南工使字第01314號共2筆使照
805,'0950026345,095/04/04,歡喜自在6,安平區郡平路274巷2號,15,4,0,(094)南工使字第01095號
806,'0950028842,095/04/10,麗景公園大廈,東區裕敬路2號,16,5,0,(093)南工使字第02055號
807,'0972,095/04/17,鼎極佳園社區,南區健康路一段333巷42號,4,5,0,(095)南工使字第00972號
808,'0950089726,095/05/01,民權尊邸社區,歸仁區南保里民權六街52巷2號,1,4,,(093)南工使字第01212號
809,'0953103255,095/05/02,碧波飛A區社區,安平區州平三街17號,10,3,0,(094)南工使字第00717號
810,'0953103248,095/05/02,碧波飛B區社區,安平區安平區州平三街13號,10,3,0,(094)南工使字第00718號
811,'0953103347,095/05/04,葉嘉瑩社區,北區文成二街298號,2,4,0,(093)南工使字第02303號
812,'0953103622,095/05/11,蕃茄當紅社區,安南區總安街一段57巷17號,6,4,0,(094)南工使字第01762號
813,'0950101230,095/05/12,永康臻品第三期,永康區埔園里龍埔街486巷6弄15號,6,4,,(094)南工使字第00000號
814,'0950040724,095/05/15,學兒房公寓大廈,安平區健康路三段750號,1,3,0,(095)南工使字第00271號
815,'0950040238,095/05/16,家安值得社區,東區裕農三街175號之2,1,5,0,(094)南工使字第01150號
816,'0500427520,095/05/24,香榭臻品社區,東區裕興街93號,0,4,0,(093)南工使字第00671號
817,'0950045811,095/06/02,麗莊頂安B棟社區,安南區頂安街68巷20號,0,4,3,(094)南工使字第00239號
818,'0950117064,095/06/05,帝皇城家園一期社區,仁德區新田里民安路2段65號,24,4,,(092)南工使字第00754號
819,'0950117044,095/06/06,民生綠邑社區,歸仁區歸南里民生九街133巷41弄19號,16,4,,(094)南工使字第01303號
820,'0950120399,095/06/12,新營第一國宅社區E區,新營區東興路243號2樓,2,14,1,(089)南工局使字第00449號
821,'0950122825,095/06/12,名人匯社區,永康區永安一街81巷8號,4,4,,(094)南工使字第02633號
822,'0950048290,095/06/13,北安大地,安南區敬安街9號,1,15,2,(084)南工使字第01233號共2筆使照
823,'0950051597,095/06/19,以馬內利大樓,南區健康路一段113巷49號,1,5,0,(094)南工使字第01724號
824,'0953105043,095/06/29,梧權大樓,東區東門路三段338巷23號,1,7,1,(082)南工使字第01287號
825,'0953050910,095/06/29,林森綠園A社區,東區林森路一段56巷23號,15,5,0,(094)南工使字第01166號
826,'0950138095,095/06/30,溫莎公爵社區,永康區大灣六街9巷10號,14,4,,(093)南工使字第02067號
827,'0950140496,095/07/04,薪成家NO.2社區,歸仁區大廟二街15號,4,3,,(094)南工使字第00372號
828,'0953105230,095/07/05,林森綠園S社區,東區林森路一段60號,1,1,0,(094)南工使字第01165號
829,'0953105241,095/07/06,文元佳園第六期,北區文成路132巷12號,16,4,0,(093)南工使字第02306號
830,'0950058263,095/07/06,伍彩法拉斯社區B區公寓大廈,安南區海佃路二段150巷66弄19號,10,4,0,(093)南工使字第02159號
831,'0950057265,095/07/06,伍彩法拉斯社區D區公寓大廈,安南區海佃路二段150巷66弄55號,12,4,0,(093)南工使字第02161號
832,'0950057264,095/07/06,伍彩法拉斯社區C區公寓大廈,安南區海佃路二段150巷66弄1號,4,10,0,(093)南工使字第02160號
833,'0950142747,095/07/06,柳營國民住宅社區,柳營區柳營路三段420巷21號,7,2,,(077)南工使字第03754號
834,'1490,095/07/07,薪滿易築社區,安南區培安街四街100號,12,4,0,(095)南工使字第01490號
835,'0953105298,095/07/13,奇可大樓,北區中華北路二段228號,2,4,0,(094)南工使字第01771號
836,'0950150080,095/07/14,原生墅社區,善化區牛庄里147之21號,5,3,,(095)南工使字第00004號共5筆使照
837,'0953105558,095/07/17,奇假華廈,中西區西門路二段225巷8號,1,4,0,(095)南工使字第01371號
838,'0950152183,095/07/19,文化尊爵社區,歸仁區許厝里仁愛八街37號,2,4,,(094)南工使字第01707號
839,'0950158775,095/07/26,台南家專二期社區,永康區中正七街63巷26號,26,4,,(093)南工使字第02015號
840,'0950065620,095/08/03,鑽石社區,南區三官路176巷22號,8,4,0,(094)南工使字第00024號
841,'0950173196,095/08/14,歐洲王朝,佳里區忠仁里忠仁街51巷8號,3,4,1,(084)南工使字第01697號
842,'01756,095/08/21,福居二期社區,北區大興街233巷46弄52號,8,5,0,(095)南工使字第01756號
843,'01759,095/08/22,好瀚天琴,北區文賢一路182巷13弄2號,20,4,0,(095)南工使字第01759號
844,'0950178943,095/08/23,輝煌年代第二期社區,永康區聖龍街186巷72號,1,4,,(095)南工使字第00405號
845,'0950182340,095/08/25,庭香AB棟社區,永康區勝學路268號,2,4,,(093)南工使字第00163號
846,'0950075266,095/08/30,三星世界社區,中西區健康路一段390巷73號,1,7,0,(072)南工使字第00779-19號
847,'0950076781,095/09/04,北海綜合餐飲娛樂大樓,北區大興街325巷33號,1,6,1,(095)南工使字第01017號
848,'0953107328,095/09/06,青田綠邑社區,東區裕平街56號,23,5,0,(093)南工使字第00040號
849,'0953107058,095/09/08,林森綠園,東區林森路一段58巷12號,1,4,0,(094)南工使字第00113號
850,'0953107541,095/09/13,麗莊頂安F棟社區,安南區頂安街68巷29弄8號,2,4,0,(094)南工使字第00261號
851,'0950200089,095/09/15,翡翠名園,永康區勝學路269巷2號7樓之6,1,7,1,(088)南工使字第00679號
852,'2030,095/09/19,學仕園A區社區,東區裕華三街123號,8,5,0,(095)南工使字第02030號
853,'0953107975,095/09/26,都會森林社區,東區光華街87號,16,5,0,(093)南工使字第01657號
854,'0953200075,095/10/02,德安仁和社區公寓大廈,東區仁和路45-26號,20,4,0,(095)南工使字第00226號
855,'570970,095/10/02,最上川社區,南區健康路一段113巷53弄1號,2,5,0,(090)南工使字第01184號
856,'0950212101,095/10/03,臺南縣永康國民住宅社區,永康區忠孝路76巷49弄2號,21,5,1,(072)南工使字第00886號共3筆使照
857,'01417,095/10/04,新堡社區,東區裕平一街51號,24,5,0,(092)南工使字第01101號
858,'2697,095/10/07,國泰萊茵世家,東區富強二街3號4樓,5,10,3,(095)南工使字第02697號
859,'0923008946,095/10/16,賓士福邸,中西區民權路三段338號,1,7,1,(081)南工使字第01103-36號
860,'0953000373,095/10/16,公園甜甜家園大樓,北區公園路587-28號2樓,1,5,0,(075)南工使字第01017-16號
861,'0953202418,095/10/18,錦鳳社區,安南區公學路四段189號等2戶,1,2,0,(095)南工使字第02335號
862,'0950226454,095/10/20,正光永富邑,永康區復國一路173巷46弄17號,1,4,0,(094)南工使字第02031號
863,'0943202230,095/10/24,文元佳園社區,北區中華北路二段53巷16弄3號,10,4,0,(094)南工使字第01968號
864,'109135,095/10/31,翰林園,中西區府緯街19號,1,7,0,(084)南工使字第01091-35號
865,'0950234965,095/11/02,誠品官邸社區,佳里區光華街193號,16,4,,(094)南工使字第02206號
866,'0950236963,095/11/06,宇成菁選集公寓大廈,永康區中華二路206巷68弄73號6樓之2,1,6,,(095)南工使字第00227號
867,'0920307672,095/11/08,頂美人生社區,中西區頂美三街75號,2,4,0,(092)南工使字第00016號
868,'0950239881,095/11/08,龍橋會館社區,永康區龍橋街296巷11號,28,4,,(094)南工使字第01515號共10筆使照
869,'0950239874,095/11/08,Life 1 生活廣場 管理負責人,仁德區中山路777號,1,3,1,(094)南工使字第02978號
870,'0950242918,095/11/13,國際第一廠辦公大樓管理負責人,新市區國際路9號,1,4,,(094)南工使字第03066號
