統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
98Y09M,10011,臺南縣,10011310,永康市,73172,214033,
98Y12M,10011,臺南縣,10011010,新營市,26836,78233,
98Y12M,10011,臺南縣,10011020,鹽水鎮,9861,27321,
98Y12M,10011,臺南縣,10011030,白河鎮,10876,31735,
98Y12M,10011,臺南縣,10011040,柳營鄉,7742,22987,
98Y12M,10011,臺南縣,10011050,後壁鄉,8711,26163,
98Y12M,10011,臺南縣,10011060,東山鄉,8173,23414,
98Y12M,10011,臺南縣,10011070,麻豆鎮,14883,46089,
98Y12M,10011,臺南縣,10011080,下營鄉,9051,26411,
98Y12M,10011,臺南縣,10011090,六甲鄉,7569,23984,
98Y12M,10011,臺南縣,10011100,官田鄉,7591,22455,
98Y12M,10011,臺南縣,10011110,大內鄉,4070,11093,
98Y12M,10011,臺南縣,10011120,佳里鎮,19079,59464,
98Y12M,10011,臺南縣,10011130,學甲鎮,9464,28173,
98Y12M,10011,臺南縣,10011140,西港鄉,7745,25357,
98Y12M,10011,臺南縣,10011150,七股鄉,7939,24958,
98Y12M,10011,臺南縣,10011160,將軍鄉,7417,21798,
98Y12M,10011,臺南縣,10011170,北門鄉,4357,12560,
98Y12M,10011,臺南縣,10011180,新化鎮,13548,44361,
98Y12M,10011,臺南縣,10011190,善化鎮,14306,43361,
98Y12M,10011,臺南縣,10011200,新市鄉,10679,34977,
98Y12M,10011,臺南縣,10011210,安定鄉,9153,30129,
98Y12M,10011,臺南縣,10011220,山上鄉,2727,8021,
98Y12M,10011,臺南縣,10011230,玉井鄉,5076,15579,
98Y12M,10011,臺南縣,10011240,楠西鄉,3593,10794,
98Y12M,10011,臺南縣,10011250,南化鄉,2822,9009,
98Y12M,10011,臺南縣,10011260,左鎮鄉,1974,5614,
98Y12M,10011,臺南縣,10011270,仁德鄉,24309,68947,
98Y12M,10011,臺南縣,10011280,歸仁鄉,20246,65924,
98Y12M,10011,臺南縣,10011290,關廟鄉,10631,36380,
98Y12M,10011,臺南縣,10011300,龍崎鄉,1591,4433,
98Y12M,10011,臺南縣,10011310,永康市,73491,214622,
99Y03M,10011,臺南縣,10011010,新營市,26919,78384,
99Y03M,10011,臺南縣,10011020,鹽水鎮,9883,27235,
99Y03M,10011,臺南縣,10011030,白河鎮,10899,31651,
99Y03M,10011,臺南縣,10011040,柳營鄉,7756,22865,
99Y03M,10011,臺南縣,10011050,後壁鄉,8725,26057,
99Y03M,10011,臺南縣,10011060,東山鄉,8165,23274,
99Y03M,10011,臺南縣,10011070,麻豆鎮,14949,46025,
99Y03M,10011,臺南縣,10011080,下營鄉,9059,26315,
99Y03M,10011,臺南縣,10011090,六甲鄉,7565,23907,
99Y03M,10011,臺南縣,10011100,官田鄉,7582,22336,
99Y03M,10011,臺南縣,10011110,大內鄉,4079,11025,
99Y03M,10011,臺南縣,10011120,佳里鎮,19115,59456,
99Y03M,10011,臺南縣,10011130,學甲鎮,9477,28061,
99Y03M,10011,臺南縣,10011140,西港鄉,7772,25308,
99Y03M,10011,臺南縣,10011150,七股鄉,7947,24925,
99Y03M,10011,臺南縣,10011160,將軍鄉,7407,21663,
99Y03M,10011,臺南縣,10011170,北門鄉,4365,12524,
99Y03M,10011,臺南縣,10011180,新化鎮,13606,44303,
99Y03M,10011,臺南縣,10011190,善化鎮,14353,43394,
99Y03M,10011,臺南縣,10011200,新市鄉,10681,34918,
99Y03M,10011,臺南縣,10011210,安定鄉,9185,30110,
99Y03M,10011,臺南縣,10011220,山上鄉,2724,7987,
99Y03M,10011,臺南縣,10011230,玉井鄉,5060,15528,
99Y03M,10011,臺南縣,10011240,楠西鄉,3589,10755,
99Y03M,10011,臺南縣,10011250,南化鄉,2825,8983,
99Y03M,10011,臺南縣,10011260,左鎮鄉,1973,5578,
99Y03M,10011,臺南縣,10011270,仁德鄉,24375,68930,
99Y03M,10011,臺南縣,10011280,歸仁鄉,20314,65964,
99Y03M,10011,臺南縣,10011290,關廟鄉,10658,36241,
99Y03M,10011,臺南縣,10011300,龍崎鄉,1597,4423,
99Y03M,10011,臺南縣,10011310,永康市,73912,215392,
99Y06M,10011,臺南縣,10011010,新營市,26976,78194,
99Y06M,10011,臺南縣,10011020,鹽水鎮,9904,27259,
